name,ver,size,deps,reqBy,reason,installed,desc
"libxcrypt","4.5.2-1",199801,"glibc","","1","1763004203","Modern library for one-way hashing of passwords"
"freetype2","2.14.2-1",1737537,"brotli bzip2 glibc libpng zlib","","1","1772802693","Font rasterization library"
"libxcb","1.17.0-1",4055289,"xcb-proto libxdmcp libxau glibc","","1","1760793380","X11 client-side library"
"convertlit","1.8-13",110816,"glibc libtommath","","1","1763313617","An extractor/converter for .LIT eBooks"
"libpcap","1.10.6-1",682953,"glibc libnl sh libdbus-1.so=3-64","","1","1768133968","A system-independent interface for user-level packet capture"
"libtheora","1.2.0-1",2450754,"glibc libogg","","1","1760794778","Standard encoder and decoder library for the Theora video compression format"
"libstdc++","15.2.1+r604+g0b99615a8aef-1",2690115,"glibc>=2.27","","1","1771691676","C++ runtime libraries shipped by GCC"
"cairomm","1.14.5-2",422040,"cairo gcc-libs glibc libsigc++ libsigc-2.0.so=0-64","","1","1770468720","C++ bindings for Cairo"
"alsa-lib","1.2.15.3-2",1798440,"alsa-topology-conf alsa-ucm-conf glibc","","1","1769309371","An alternative implementation of Linux sound support"
"tslib","1.24-1",490472,"glibc","","1","1762540487","Touchscreen Access Library"
"python-pytz","2025.2-2",180755,"python","","1","1768133969","Cross platform time zone library for Python"
"lua","5.4.8-2",1570112,"readline","","1","1763758353","Powerful lightweight programming language designed for extending applications"
"binutils","2.46-1",45486119,"gcc-libs glibc jansson libelf zlib zstd","","1","1771691678","A set of programs to assemble and manipulate binary and object files"
"libmtp","1.1.23-1",5616858,"glibc libgcrypt libusb","","1","1771691680","Library implementation of the Media Transfer Protocol"
"egl-wayland","4:1.1.21-1",99887,"eglexternalplatform glibc libdrm wayland","","1","1766455297","EGLStream-based Wayland external platform"
"pinentry","1.3.2-2",784782,"glibc ncurses libassuan libsecret glib2 libglib-2.0.so=0-64 libncursesw.so=6-64 libsecret-1.so=0-64","","1","1760765879","Collection of simple PIN or passphrase entry dialogs which utilize the Assuan protocol"
"ebook-tools","0.2.2-9",79796,"convertlit glibc libxml2 libzip sh","","1","1763313617","Tools for accessing and converting various ebook file formats"
"libtasn1","4.21.0-1",284533,"glibc","","1","1768133965","The ASN.1 library used in GNUTLS"
"device-mapper","2.03.38-1",785437,"glibc systemd-libs libudev.so=1-64","","1","1766455299","Device mapper userspace library and tools"
"libavtp","0.2.0-3",50569,"","","1","1767561070","Open source implementation of Audio Video Transport Protocol"
"python-docstring-to-markdown","0.17-2",199224,"python python-importlib-metadata python-typing_extensions","","1","1768133969","On the fly conversion of Python docstrings to markdown"
"vim","9.2.0081-1",5319160,"vim-runtime=9.2.0081-1 gpm acl glibc libgcrypt zlib","","","1772802695","Vi Improved, a highly configurable, improved version of the vi text editor"
"m17n-db","1.8.10-1",7655424,"glibc","","1","1763932608","Multilingual text processing library (database)"
"xorg-fonts-encodings","1.1.0-1",644558,"","","1","1760794840","X.org font encoding files"
"python-docutils","1:0.22.3-2",6833802,"python","","1","1768133966","Set of tools for processing plaintext docs into formats such as HTML, XML, or LaTeX"
"libmad","0.15.1b-10",164411,"glibc","","1","1761449652","A high-quality MPEG audio decoder"
"libblockdev-loop","3.4.0-2",24745,"gcc-libs glib2 libglib-2.0.so=0-64 glibc libblockdev=3.4.0 libbd_utils.so=3-64","","1","1768133967","A library for manipulating block devices - loop device support"
"imv","5.0.1-1",241118,"glu libheif libinih libjxl libnsbmp libnsgif librsvg libxkbcommon libxkbcommon-x11 pango qoi","","","1765025755","Image viewer for Wayland and X11"
"icu","78.2-2",45329857,"glibc libstdc++ libgcc sh","","1","1771691676","International Components for Unicode library"
"python-mypy_extensions","1.1.0-2",33782,"python","","1","1768133969","Experimental type system extensions for programs checked with the mypy typechecker"
"gd","2.3.3-9",669598,"fontconfig libxpm libwebp libavif libheif","","1","1762609167","Library for the dynamic creation of images by programmers"
"xorg-xset","1.2.5-2",41029,"libxmu","","1","1760803233","User preference utility for X"
"bash","5.3.9-1",10022674,"readline libreadline.so=8-64 glibc ncurses","","1","1766455296","The GNU Bourne Again shell"
"python-setuptools-scm","9.2.2-3",634860,"python python-packaging python-setuptools","","1","1768133969","Handles managing your python package versions in scm metadata"
"lzo","2.10-5",395669,"glibc","","1","1760793800","Portable lossless data compression library"
"libyuv","r2426+464c51a03-1",1906689,"gcc-libs libjpeg-turbo","","1","1760794933","Library for YUV scaling"
"ripgrep-all","0.10.10-1",18339064,"ripgrep xz","","1","1763313617","rga: ripgrep, but also search in PDFs, E-Books, Office documents, zip, tar.gz, etc."
"elfutils","0.194-2",3733580,"gcc-libs glibc libarchive libarchive.so=13-64 libelf=0.194 sh","","1","1772802694","Handle ELF object files and DWARF debugging information (utilities)"
"python-urllib3","2.6.3-1",1508710,"python","","1","1768133966","HTTP library with thread-safe connection pooling and file post support"
"linux-api-headers","6.19-1",7210638,"","","1","1770690751","Kernel headers sanitized for use in userspace"
"libxcvt","0.1.3-1",36757,"glibc","","1","1760794840","library providing a standalone version of the X server implementation of the VESA CVT standard timing modelines generator"
"aom","3.13.1-2",9605377,"gcc-libs glibc","","1","1767444776","Alliance for Open Media video codec"
"mpfr","4.2.2-1",1060163,"glibc gmp","","1","1760765879","Multiple-precision floating-point library"
"xorg-setxkbmap","1.3.4-2",34402,"libxkbfile libxrandr","","1","1760794840","Set the keyboard using the X Keyboard Extension"
"gzip","1.14-2",162610,"glibc bash coreutils sed grep","","1","1760765879","GNU compression utility"
"faad2","2.11.2-1",669050,"glibc","","1","1761447775","Freeware Advanced Audio (AAC) Decoder"
"libvdpau","1.5-4",291237,"glibc libx11 libxext","","1","1770690752","Nvidia VDPAU library"
"srt","1.5.4-1",1681063,"bash gcc-libs glibc openssl","","1","1760794778","Secure Reliable Transport library"
"fbset","2.1-11",60714,"glibc","","","1760890142","Framebuffer setup utility"
"libunistring","1.4.1-1",2866028,"glibc","","1","1769908516","Library for manipulating Unicode strings and C strings"
"jbig2dec","0.20-1",160865,"libpng glibc","","1","1763819152","Decoder implementation of the JBIG2 image compression format"
"automake","1.18.1-1",1718030,"perl bash","","1","1760804355","A GNU tool for automatically creating Makefiles"
"webkit2gtk-4.1","2.50.5-1",134086136,"at-spi2-core atk bubblewrap cairo enchant expat fontconfig freetype2 gcc-libs gdk-pixbuf2 glib2 glibc gst-plugins-bad-libs gst-plugins-base-libs gstreamer gtk3 harfbuzz harfbuzz-icu hyphen icu lcms2 libavif libdrm libegl libepoxy libgcrypt libgl libgles libjpeg-turbo libjxl libmanette libpng libseccomp libsecret libsoup3 libsystemd libtasn1 libwebp libx11 libxml2 libxslt mesa openjpeg2 pango sqlite ttf-font wayland woff2 xdg-dbus-proxy zlib","","","1771691681","Web content engine for GTK"
"liblrdf","0.6.1-5",55586,"raptor","","1","1767561070","A library for the manipulation of RDF file in LADSPA plugins"
"linux-firmware-whence","20260221-1",381885,"","","1","1772285549","Firmware files for Linux - WHENCE file (vendor licenses)"
"python-setuptools","1:82.0.0-1",7652850,"python python-jaraco.collections python-jaraco.functools python-jaraco.text python-more-itertools python-packaging python-platformdirs python-wheel python-pkg_resources","","1","1771691681","Easily download, build, install, upgrade, and uninstall Python packages"
"python-gobject","3.54.5-2",1551867,"glib2 glibc gobject-introspection-runtime libffi python","","1","1768133969","Python bindings for GLib/GObject/GIO/GTK"
"libgfortran","15.2.1+r604+g0b99615a8aef-1",3631340,"glibc>=2.27","","1","1771691676","Runtime libraries shipped by GCC"
"libmpc","1.3.1-2",183812,"glibc gmp mpfr","","1","1760804355","Library for the arithmetic of complex numbers with arbitrarily high precision"
"python-websockets","16.0-1",2099450,"glibc python","","1","1768657449","Python implementation of the WebSocket Protocol (RFC 6455)"
"libatasmart","0.19-7",106008,"glibc systemd-libs","","1","1760794778","ATA S.M.A.R.T. reader and parser library"
"linux-firmware-intel","20260221-1",130362393,"linux-firmware-whence","","1","1772285550","Firmware files for Linux - Firmware for Intel devices"
"libnice","0.1.23-1",1902384,"glib2 glibc gnutls gupnp-igd","","1","1764332715","Nice: GLib ICE library"
"adwaita-fonts","50.0-1",7646846,"","","1","1772285548","The typefaces for GNOME"
"libdbusmenu-glib","18.10.20180917-1",698093,"glib2 glibc","","1","1762222214","Library for passing menus over DBus"
"gcc-libs","15.2.1+r604+g0b99615a8aef-1",0,"glibc>=2.27 libasan libatomic libgfortran libgcc libgomp liblsan libobjc libquadmath libstdc++ libtsan libubsan","","1","1771691676","Runtime libraries shipped by GCC"
"hyprutils","0.11.0-1",423008,"pixman libpixman-1.so=0-64","","1","1765025751","Hyprland utilities library used across the ecosystem"
"python-zipp","3.21.0-4",81014,"python","","1","1768133969","Pathlib-compatible object wrapper for zip files"
"guile","3.0.11-1",57132538,"gmp ncurses libunistring gc libffi libxcrypt","","1","1765133494","Portable, embeddable Scheme implementation written in C"
"gnulib-l10n","20241231-1",644166,"","","1","1760765879","The Gnulib localizations"
"kauth","6.23.0-1",421494,"gcc-libs glibc kcoreaddons kwindowsystem polkit-qt6 qt6-base","","1","1771691680","Abstraction to system policy and authentication features"
"bluez","5.86-4",1624046,"systemd-libs dbus glib2 alsa-lib glibc","","","1772802693","Daemons for the bluetooth protocol stack"
"iwd","3.11-2",2282818,"glibc readline libreadline.so=8-64 ell libgcc","","","1771691680","Internet Wireless Daemon"
"gupnp-igd","1.6.0-2",117569,"glibc gupnp libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libgio-2.0.so=0-64 libgssdp-1.6.so=0-64 libgupnp-1.6.so=0-64","","1","1760794778","Library to handle UPnP IGD port mapping"
"knewstuff","6.23.0-1",3125063,"attica gcc-libs glibc karchive kcmutils kconfig kcoreaddons ki18n kirigami kpackage kwidgetsaddons qt6-base qt6-declarative syndication","","1","1771691680","Support for downloading application assets from the network"
"ex-vi-compat","2-1",646,"vim","","","1770172978","The ex and vi commands based on vim's compatibility modes"
"woff2","1.0.2-6",183319,"brotli gcc-libs glibc","","1","1760794933","Web Open Font Format 2 reference implementation"
"libiec61883","1.2.0-9",129853,"libraw1394","","1","1760794778","A higher level API for streaming DV, MPEG-2 and audio over Linux IEEE 1394"
"man-db","2.13.1-1",2531206,"bash gdbm zlib groff libpipeline less libseccomp glibc","","","1760795463","A utility for reading man pages"
"kbookmarks","6.23.0-1",543019,"gcc-libs glibc kconfig kcoreaddons kwidgetsaddons qt6-base","","1","1771691677","Support for bookmarks and the XBEL format"
"tmux","3.6_a-1",1164212,"libevent libevent_core-2.1.so=7-64 libutempter ncurses libncursesw.so=6-64 systemd-libs libsystemd.so=0-64","","","1765251349","Terminal multiplexer"
"sg3_utils","1.48-1",3374377,"glibc","","1","1761449059","Generic SCSI utilities"
"ki18n","6.23.0-1",18675005,"gcc-libs glibc iso-codes qt6-base","","1","1771691677","Advanced internationalization framework"
"kparts","6.23.0-1",532267,"gcc-libs glibc kconfig kcoreaddons ki18n kio kwidgetsaddons kxmlgui qt6-base","","1","1771691680","Document centric plugin system"
"usbmuxd","1.1.1-4",91170,"libimobiledevice libusb libplist","","1","1761449059","USB Multiplex Daemon"
"libpng","1.6.55-1",607542,"zlib sh","","1","1771691676","A collection of routines used to create PNG format graphics files"
"aws-c-compression","0.3.2-1",27438,"aws-c-common glibc","","1","1768657448","C99 implementation of huffman encoding/decoding"
"poppler-glib","26.02.0-2",3415420,"poppler=26.02.0 glib2 libgcc libstdc++ freetype2 cairo glibc","","","1772285550","Poppler glib bindings"
"bluez-libs","5.86-4",320439,"glibc","","1","1772802693","Deprecated libraries for the bluetooth protocol stack"
"parted","3.6-2",2538025,"device-mapper util-linux-libs","","1","1760794778","A program for creating, destroying, resizing, checking and copying partitions"
"libpipeline","1.5.8-1",94453,"glibc","","1","1760795463","a C library for manipulating pipelines of subprocesses in a flexible and convenient way"
"python-black","26.1.0-1",2311531,"python python-click python-mypy_extensions python-packaging python-pathspec python-platformdirs python-pytokens","","1","1770690752","Uncompromising Python code formatter"
"git","2.53.0-1",31158839,"curl expat perl perl-error perl-mailtools openssl pcre2 grep shadow zlib-ng","","","1770172978","the fast distributed version control system"
"python-cuda-pathfinder","1:1.4.0-1",344307,"python","","1","1772285550","Utilities for locating CUDA components"
"which","2.23-1",31218,"bash glibc","","","1760804023","A utility to show the full path of commands"
"libass","0.17.4-1",307331,"fontconfig fribidi glibc harfbuzz libfreetype.so=6-64 libunibreak","","1","1760794778","A portable library for SSA/ASS subtitles rendering"
"libblockdev-fs","3.4.0-2",133854,"e2fsprogs libext2fs.so=2-64 libe2p.so=2-64 gcc-libs glib2 libglib-2.0.so=0-64 glibc libblockdev=3.4.0 libbd_utils.so=3-64 libbytesize parted util-linux-libs libblkid.so=1-64 libmount.so=1-64 libuuid.so=1-64","","1","1768133967","A library for manipulating block devices - filesystem support"
"attr","2.5.2-1",221188,"glibc","","1","1760765879","Extended attribute support library for ACL support"
"gst-libav","1.28.1-1",256768,"gst-plugins-base-libs=1.28.1-1 gstreamer=1.28.1-1 ffmpeg glib2 glibc","","","1772285549","Multimedia graph framework - libav plugin"
"opus","1.6.1-1",4357129,"glibc","","1","1768657448","Totally open, royalty-free, highly versatile audio codec"
"linux-firmware-atheros","20260221-1",49315712,"linux-firmware-whence","","1","1772285549","Firmware files for Linux - Firmware for Qualcomm Atheros WiFi and Bluetooth adapters"
"libx11","1.8.13-1",10257192,"libxcb glibc xorgproto","","1","1770690752","X11 client-side library"
"gitui","0.28.0-1",8637337,"gcc-libs glibc libgit2 libssh2 openssl libgit2.so=1.9-64","","","1766455300","Blazing fast terminal-ui for git written in Rust"
"libzip","1.11.4-1",492257,"zlib bzip2 zstd openssl gnutls","","1","1760832369","C library for reading, creating, and modifying zip archives"
"libevent","2.1.12-5",1174357,"glibc openssl","","1","1769309371","Event notification library"
"tk","8.6.16-1",12864284,"tcl libxss libxft","","1","1766376497","A windowing toolkit for use with tcl"
"python-wheel","0.46.3-1",321945,"python python-packaging","","1","1770172978","A built-package format for Python"
"gstreamer","1.28.1-1",12344369,"glib2 glibc libcap libelf libgcc libunwind","","1","1772285549","Multimedia graph framework - core"
"libmnl","1.0.5-2",35012,"glibc","","1","1760765881","Minimalistic user-space library oriented to Netlink developers."
"appstream","1.1.2-1",17964284,"cairo curl fontconfig freetype2 gcc-libs gdk-pixbuf2 glib2 glibc libfyaml librsvg libstemmer libxml2 libxmlb pango systemd-libs zstd","","1","1769654415","Provides a standard for creating app stores across distributions"
"lv2","1.18.10-2",1025520,"","","1","1761416032","Plugin standard for audio systems"
"python-jaraco.functools","4.1.0-3",74624,"python python-more-itertools","","1","1768133969","Functools like those found in stdlib"
"grep","3.12-2",920241,"glibc pcre2","","1","1760765879","A string search utility"
"libmicrodns","0.2.0-2",37370,"glibc","","1","1767561070","Minimal mDNS resolver library"
"libplacebo","7.360.0-2",1671933,"vulkan-icd-loader glslang lcms2 shaderc glibc libgcc libstdc++ libunwind libdovi xxhash libdovi.so=3-64 liblcms2.so=2-64 libshaderc_shared.so=1-64 libvulkan.so=1-64","","1","1772285549","Reusable library for GPU-accelerated video/image rendering primitives"
"xdg-desktop-portal-wlr","0.8.1-1",120935,"glibc grim libdrm libinih libpipewire mesa pipewire pipewire-session-manager slurp systemd-libs wayland xdg-desktop-portal","","","1765133494","xdg-desktop-portal backend for wlroots"
"npth","1.8-1",88201,"glibc sh","","1","1760765879","The new GNU portable threads library"
"otf-font-awesome","7.2.0-1",724563,"","","","1771691681","Iconic font designed for Bootstrap - otf format"
"ttf-dejavu","2.37+18+g9b5d1b2f-7",10264512,"","","1","1760803882","Font family based on the Bitstream Vera Fonts with a wider range of characters"
"libraw1394","2.1.2-4",170084,"glibc","","1","1760794778","Provides an API to the Linux IEEE1394 (FireWire) driver"
"libxinerama","1.1.6-1",25196,"libxext libx11 glibc xorgproto","","1","1769654415","X11 Xinerama extension library"
"efibootmgr","18-3",85719,"glibc popt efivar libefiboot.so=1-64 libefivar.so=1-64","","","1760898916","Linux user-space application to modify the EFI Boot Manager"
"graphene","1.10.8-2",1025528,"glib2 glibc","","1","1760794778","Thin layer of graphic data types"
"boost-libs","1.89.0-4",9720171,"bzip2 zlib icu zstd","","1","1768133967","Free peer-reviewed portable C++ source libraries (runtime libraries)"
"sndio","1.10.0-1",293392,"alsa-lib libbsd","","1","1760794840","A small audio and MIDI framework"
"webrtc-audio-processing-1","1.3-5",1532615,"abseil-cpp gcc-libs glibc","","1","1760794933","AudioProcessing library based on Google's implementation of WebRTC (legacy)"
"snappy","1.2.2-3",97047,"glibc libstdc++","","1","1771691676","A fast compressor/decompressor library"
"ansi2txt-bin","0.1.1-1",2304066,"","","","1766619335","Convert text containing ANSI control codes into plain ASCII text."
"alsa-utils","1.2.15.2-2",2572021,"glibc libgcc pciutils psmisc alsa-lib libasound.so=2-64 libatopology.so=2-64 ncurses libformw.so=6-64 libmenuw.so=6-64 libncursesw.so=6-64 libpanelw.so=6-64 libsamplerate libsamplerate.so=0-64","","","1771691676","Advanced Linux Sound Architecture - Utilities"
"libao","1.2.2-7",209558,"glibc alsa-lib libasound.so=2-64 libpulse libpulse.so=0-64 libpulse-simple.so=0-64","","1","1761449652","Cross-platform audio output library and plugins"
"libxext","1.3.7-1",315129,"libx11 glibc xorgproto","","1","1769654415","X11 miscellaneous extensions library"
"jbigkit","2.1-8",170745,"glibc","","1","1760793800","Data compression library/utilities for bi-level high-resolution images"
"sdl2-compat","2.32.64-1",3227315,"sdl3 glibc","","1","1770690752","An SDL2 compatibility layer that uses SDL3 behind the scenes"
"libxau","1.0.12-1",23152,"glibc xorgproto","","1","1760793380","X11 authorisation library"
"typst","1:0.14.2-2",44320580,"glibc libgcc libgcc_s.so=1-64 openssl libssl.so=3-64 libcrypto.so=3-64","","","1771691681","A markup-based typesetting system for the sciences"
"libxcursor","1.2.3-1",71422,"libxfixes libxrender default-cursors libx11 glibc xorgproto","","1","1760793800","X cursor management library"
"kirigami","6.23.1-1",3719923,"gcc-libs glibc qt6-base qt6-declarative qt6-svg","","1","1772802694","A QtQuick based components set"
"mkinitcpio","40-4",215772,"awk mkinitcpio-busybox kmod util-linux libarchive coreutils bash binutils diffutils findutils grep gzip filesystem zstd systemd","","1","1767444778","Modular initramfs image creation utility"
"kjobwidgets","6.23.0-1",741827,"gcc-libs glibc kcoreaddons knotifications kwidgetsaddons qt6-base","","1","1771691678","Widgets for tracking KJob instances"
"mpg123","1.33.4-1",1234091,"alsa-lib","","1","1766455298","Console based real time MPEG Audio Player for Layer 1, 2 and 3"
"ocl-icd","2.3.4-1",507331,"glibc","","1","1762820700","OpenCL ICD Bindings"
"default-cursors","3-1",30,"","","1","1760793380","Default cursor set"
"libfdk-aac","2.0.3-1",1505372,"glibc","","1","1760794933","Fraunhofer FDK AAC codec library"
"xcb-util-keysyms","0.4.1-5",17973,"libxcb glibc","","1","1760830184","Utility libraries for XC Binding - Standard X key constants and conversion to/from keycodes"
"perl-time-duration","1:1.21-2",19844,"perl","","1","1763301816","rounded or exact English expression of durations"
"linux-firmware-cirrus","20260221-1",2289846,"linux-firmware-whence","","1","1772285549","Firmware files for Linux - Firmware for Cirrus Logic audio devices"
"python-requests","2.32.5-4",629011,"ca-certificates python python-charset-normalizer python-idna python-urllib3","","1","1772285550","Python HTTP for Humans"
"autoconf","2.72-1",2331730,"awk m4 diffutils perl sh","","1","1760804355","A GNU tool for automatically configuring source code"
"upower","1.91.1-1",886191,"gcc-libs glib2 glibc libgudev libimobiledevice libplist polkit libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libgio-2.0.so=0-64","","1","1771691678","Abstraction for enumerating power devices, listening to device events and querying history and statistics"
"cryptsetup","2.8.4-1",3432998,"device-mapper libdevmapper.so=1.02-64 glibc openssl libcrypto.so=3-64 popt util-linux-libs libblkid.so=1-64 libuuid.so=1-64 json-c libjson-c.so=5-64","","1","1769654415","Userspace setup tool for transparent encryption of block devices using dm-crypt"
"wireplumber","0.5.13-1",1180166,"libwireplumber=0.5.13-1 gcc-libs glibc libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libgio-2.0.so=0-64 libpipewire libpipewire-0.3.so=0-64 libsystemd.so=0-64 lua pipewire systemd-libs","","","1767444779","Session / policy manager implementation for PipeWire"
"sbc","2.2-1",216562,"glibc","","1","1770690753","Bluetooth Subband Codec (SBC) library"
"libtommath","1.3.0-2",126809,"glibc","","1","1763753414","Highly optimized and portable routines for integer based number theoretic applications"
"iso-codes","4.20.1-1",23380644,"","","1","1767835910","Lists of the country, language, and currency names"
"libmanette","0.2.13-1",414924,"gcc-libs glib2 glibc hidapi libevdev libgudev","","1","1760794933","Simple GObject game controller library"
"adwaita-icon-theme-legacy","46.2-3",2339026,"hicolor-icon-theme","","1","1760793797","GNOME fallback icons for legacy apps"
"zxing-cpp","3.0.2-1",1765316,"glibc libgcc libstdc++ zint","","1","1771691680","An open-source, multi-format linear/matrix barcode image processing library implemented in C++"
"xorg-xprop","1.2.8-1",53454,"libx11 glibc","","1","1760793797","Property displayer for X"
"wayland-protocols","1.47-1",990542,"","","1","1766455301","Specifications of extended Wayland protocols"
"kwidgetsaddons","6.23.0-1",7678659,"gcc-libs glibc qt6-base","","1","1771691677","Addons to QtWidgets"
"nspr","4.38.2-1",742135,"glibc sh","","1","1763004203","Netscape Portable Runtime"
"foot-terminfo","1.26.0-1",9304,"ncurses","","","1772802694","Extra non-standard terminfo files for foot, a Wayland terminal emulator"
"moreutils","0.70-1",169438,"perl perl-ipc-run perl-timedate perl-time-duration","","","1763301816","A growing collection of the unix tools that nobody thought to write thirty years ago"
"hyprgraphics","0.5.0-1",211214,"cairo file libmagic.so=1-64 gcc-libs glibc hyprutils libhyprutils.so=10-64 libjpeg-turbo libjpeg.so=8-64 libjxl libjxl.so=0.11-64 libjxl_threads.so=0.11-64 libpng librsvg libwebp libwebp.so=7-64 pango libpangocairo-1.0.so=0-64 pixman","","1","1767444778","hyprland graphics resources and utilities"
"qt6-shadertools","6.10.2-1",5055349,"gcc-libs glibc qt6-base","","1","1769908517","Provides functionality for the shader pipeline that allows Qt Quick to operate on Vulkan, Metal, and Direct3D, in addition to OpenGL"
"knotifications","6.23.0-1",515408,"gcc-libs glibc kconfig libcanberra qt6-base","","1","1771691678","Abstraction for system notifications"
"libnetfilter_conntrack","1.0.9-2",150804,"libnfnetlink libmnl","","1","1760765881","Library providing an API to the in-kernel connection tracking state table"
"double-conversion","3.4.0-1",199847,"gcc-libs glibc","","1","1766455297","Binary-decimal and decimal-binary routines for IEEE doubles"
"gsm","1.0.23-1",108986,"glibc","","1","1763932608","Shared libraries for GSM 06.10 lossy speech compression"
"libxpm","3.5.18-1",167305,"libxt libxext libx11 glibc","","1","1769654416","X11 pixmap library"
"aws-c-http","0.10.10-1",591045,"aws-c-cal aws-c-common aws-c-compression aws-c-io glibc","","1","1770172977","C99 implementation of the HTTP/1.1 and HTTP/2 specifications"
"libsoup3","3.6.6-1",2059875,"brotli glib-networking glib2 glibc krb5 libnghttp2 libpsl libsysprof-capture sqlite zlib libbrotlidec.so=1-64 libgssapi_krb5.so=2-64 libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libgio-2.0.so=0-64 libpsl.so=5-64","","1","1771691678","HTTP client/server library for GNOME"
"libproxy","0.5.12-1",103264,"curl duktape gcc-libs glib2 glibc","","1","1764210337","Automatic proxy configuration management library"
"glslang","1:1.4.341.0-2",13534154,"glibc libstdc++ spirv-tools","","1","1772285549","OpenGL and OpenGL ES shader front end and validator"
"popt","1.19-2",241164,"glibc","","1","1760765880","A commandline option parser"
"libusbmuxd","2.1.1-2",84529,"glibc libgcc libimobiledevice-glue libplist","","1","1771691678","Client library to multiplex connections from and to iOS devices"
"kitemviews","6.23.0-1",404794,"gcc-libs glibc qt6-base","","1","1771691678","Widget addons for Qt Model/View"
"hyprtoolkit","0.5.3-1",1436091,"gcc-libs aquamarine libaquamarine.so=9-64 cairo libcairo.so=2-64 glib2 libglib-2.0.so=0-64 glibc hyprgraphics libhyprgraphics.so=4-64 hyprlang libhyprlang.so=2-64 hyprutils libhyprutils.so=10-64 iniparser libiniparser.so=4-64 libdrm libglvnd libEGL.so=1-64 libOpenGL.so=0-64 libxkbcommon libxkbcommon.so=0-64 mesa pango libpango-1.0.so=0-64 pixman libpixman-1.so=0-64 wayland libwayland-client.so=0-64","","1","1769309371","A modern C++ Wayland-native GUI toolkit"
"bluez-utils","5.86-4",3644926,"dbus systemd-libs glib2 glibc readline","","","1772802693","Development and debugging utilities for the bluetooth protocol stack"
"python-pytokens","0.4.1-1",189773,"python","","1","1769908517","A fast, spec compliant Python 3.12+ tokenizer"
"grub","2:2.14-1",43501448,"device-mapper gettext sh xz","","","1768657449","GNU GRand Unified Bootloader (2)"
"python-jaraco.context","6.0.1-3",45402,"python","","1","1768133969","Context managers by jaraco"
"libbpf","1.6.2-1",843742,"glibc libelf linux-api-headers zlib","","1","1765025755","Library for loading eBPF programs and reading and manipulating eBPF objects from user-space"
"deno","2.7.4-1",121828598,"libgcc lcms2 zstd","","1","1772802694","A secure runtime for JavaScript and TypeScript"
"libnghttp2","1.68.0-1",404233,"glibc","","1","1762222212","Framing layer of HTTP/2 is implemented as a reusable C library"
"qt6-svg","6.10.2-1",1003814,"gcc-libs glibc qt6-base zlib","","","1769908517","Classes for displaying the contents of SVG files"
"python-rsa","4.9.1-2",326678,"python-pyasn1","","1","1768133966","Pure-Python RSA implementation"
"libnvme","1.16.1-3",1814560,"dbus libgcc glibc json-c keyutils liburing openssl","","1","1771691678","C Library for NVM Express on Linux"
"sdl3","3.4.2-1",7077350,"glibc libxext libxrender libx11 libgl libxcursor hidapi libusb","","1","1771903271","A library for portable low-level access to a video framebuffer, audio output, mouse, and keyboard (Version 3)"
"xorg-xinit","1.4.4-1",41549,"libx11 xorg-xauth xorg-xrdb xorg-xmodmap sh glibc","","","1767359982","X.Org initialisation program"
"sed","4.9-3",735009,"glibc acl","","1","1760765879","GNU stream editor"
"libgomp","15.2.1+r604+g0b99615a8aef-1",424206,"glibc>=2.27","","1","1771691676","OpenMP library shipped by GCC"
"xorg-server-common","21.1.21-1",130040,"xkeyboard-config xorg-xkbcomp xorg-setxkbmap","","1","1764210337","Xorg server common files"
"libheif","1.21.2-2",2402705,"aom gcc-libs glibc libde265 libwebp openh264 x264 x265","","1","1770172978","An HEIF and AVIF file format decoder and encoder"
"minizip","1:1.3.2-2",102046,"glibc zlib","","1","1771691678","Mini zip and unzip based on zlib"
"rlwrap","0.48-1",280686,"glibc readline ncurses perl python python-pexpect libptytty","","","1763222764","Adds readline-style editing and history to programs"
"blas","3.12.1-2",774575,"gcc-libs glibc","","1","1760822127","Basic Linear Algebra Subprograms"
"libbluray","1.4.0-2",1280106,"fontconfig glibc libfreetype.so=6-64 libxml2","","1","1760794778","Library to access Blu-Ray disks for video playback"
"python-certifi","2026.01.04-1",16207,"ca-certificates python","","1","1768133966","Python package for providing Mozilla's CA Bundle (using system CA store)"
"thrift","0.22.0-5",6574696,"gcc-libs glib2 glibc libevent openssl zlib","","1","1768133969","Scalable cross-language services framework for IPC/RPC"
"libimobiledevice-glue","1.3.2-1",105493,"glibc libplist","","1","1760794779","A library with common code used by libraries and tools around the libimobiledevice project"
"pam","1.7.2-2",3058177,"audit glibc libaudit.so=1-64 libcrypt.so=2-64 libnsl libtirpc libxcrypt pambase systemd-libs","","1","1769654415","PAM (Pluggable Authentication Modules) library"
"libelf","0.194-2",3377342,"bzip2 libbz2.so=1.0-64 curl libcurl.so=4-64 glibc json-c xz liblzma.so=5-64 zlib zstd libzstd.so=1-64","","1","1772802692","Handle ELF object files and DWARF debugging information (libraries)"
"desktop-file-utils","0.28-1",184991,"glib2 glibc libglib-2.0.so=0-64","","1","1760793800","Command line utilities for working with desktop entries"
