name,ver,size,deps,reqBy,reason,installed,desc
"fribidi","1.0.16-2",255694,"glibc","","1","1760793800","A Free Implementation of the Unicode Bidirectional Algorithm"
"imlib2","1.12.6-1",1543909,"bzip2 freetype2 giflib libjpeg-turbo libpng libtiff libxext xz","","1","1767835911","Library that does image file loading and saving as well as rendering, manipulation, arbitrary polygon support"
"zimg","3.0.6-1",700068,"gcc-libs glibc","","1","1765133494","Scaling, colorspace conversion, and dithering library"
"hidapi","0.15.0-1",135875,"systemd-libs","","1","1760794778","Simple library for communicating with USB and Bluetooth HID devices"
"e2fsprogs","1.47.3-2",5537837,"sh util-linux-libs","","1","1763753413","Ext2/3/4 filesystem utilities"
"harfbuzz","12.3.2-1",4410408,"freetype2 glib2 glibc graphite libfreetype.so=6-64 libgraphite2.so=3-64 libglib-2.0.so=0-64 libgobject-2.0.so=0-64","","1","1769309371","OpenType text shaping engine"
"solid","6.23.0-1",2023642,"gcc-libs glibc libimobiledevice libplist media-player-info qt6-base systemd-libs udisks2 upower util-linux-libs","","1","1771691678","Hardware integration and detection"
"zstd","1.5.7-3",1610357,"glibc libgcc libstdc++ zlib xz lz4","","1","1771691676","Zstandard - Fast real-time compression algorithm"
"aws-c-s3","0.11.5-1",407453,"aws-c-auth aws-c-cal aws-c-common aws-c-http aws-c-io aws-checksums glibc","","1","1770172977","C99 library implementation for communicating with the S3 service, designed for maximizing throughput on high bandwidth EC2 instances"
"libxkbcommon-x11","1.13.1-1",107326,"glibc libxcb libxkbcommon libxkbcommon.so=0-64","","1","1765025755","Keyboard handling library using XKB data for X11 XCB clients"
"nodejs","25.7.0-1",72751360,"brotli c-ares icu libnghttp2 libnghttp3 libngtcp2 libuv openssl simdjson zlib","","1","1772802694","Evented I/O for V8 javascript (""Current"" release)"
"pixman","0.46.4-1",774270,"glibc","","1","1760793800","The pixel-manipulation library for X and cairo"
"libblockdev","3.4.0-2",3728772,"glib2 libglib-2.0.so=0-64 libgio-2.0.so=0-64 libgobject-2.0.so=0-64 glibc kmod libkmod.so=2-64 systemd-libs libudev.so=1-64","","1","1768133967","A library for manipulating block devices"
"aws-c-cal","0.9.13-1",140707,"aws-c-common glibc openssl","","1","1766961465","AWS Crypto Abstraction Layer: Cross-Platform, C99 wrapper for cryptography primitives"
"libverto","0.3.2-5",70030,"glibc libevent","","1","1760765879","Main event loop abstraction library"
"gst-plugins-base","1.28.1-1",651520,"gst-plugins-base-libs=1.28.1-1 gstreamer=1.28.1-1 alsa-lib cairo cdparanoia glib2 glibc libgcc libogg libtheora libvorbis opus pango","","1","1772285549","Multimedia graph framework - base plugins"
"rustup","1.28.2-5",12016853,"glibc libgcc xz zstd","","1","1772285550","The Rust toolchain installer"
"lapack","3.12.1-2",15790053,"blas gcc-libs glibc","","1","1760822127","Linear Algebra PACKage"
"llvm","21.1.8-1",129678101,"llvm-libs curl perl","","1","1771691680","Compiler infrastructure"
"xxhash","0.8.3-1",409700,"glibc","","1","1760794778","Extremely fast non-cryptographic hash algorithm"
"adwaita-icon-theme","49.0-1",1224585,"adwaita-icon-theme-legacy hicolor-icon-theme adwaita-cursors","","1","1760793797","GNOME standard icons"
"libgudev","238-3",399854,"gcc-libs glib2 glibc libsystemd libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libudev.so=1-64","","1","1760794778","GObject bindings for libudev"
"libxaw","1.0.16-1",1733964,"libxmu libxpm libx11 libxt libxext xorgproto glibc","","1","1762609166","X11 Athena Widget library"
"hyprlang","0.6.8-1",284453,"gcc-libs glibc hyprutils libhyprutils.so=10-64","","1","1767835910","implementation library for the hypr config language"
"libquadmath","15.2.1+r604+g0b99615a8aef-1",311911,"glibc>=2.27","","1","1771691676","GCC __float128 library"
"libplist","2.7.0-3",543701,"glibc libgcc libstdc++","","1","1771691678","Library to handle Apple Property List files"
"libgccjit","15.2.1+r604+g0b99615a8aef-1",39653414,"gcc=15.2.1+r604+g0b99615a8aef-1 libisl.so=23-64","","1","1771691680","Just-In-Time Compilation with GCC backend"
"libngtcp2","1.21.0-1",674972,"glibc openssl libssl.so=3-64 gnutls","","1","1772285548","Implementation of IETF QUIC protocol"
"libltc","1.3.2-2",774319,"glibc","","1","1767561070","Linear/Logitudinal Time Code (LTC) Library"
"soundtouch","2.4.0-1",198287,"gcc-libs","","1","1767561070","An audio processing library"
"libxrandr","1.5.5-1",73087,"libxext libxrender libx11 glibc","","1","1769654415","X11 RandR extension library"
"zziplib","0.13.80-1",342065,"zlib","","1","1761449652","A lightweight library that offers the ability to easily extract data from files archived in a single zip file"
"gpgmepp","2.0.0-2",587485,"gcc-libs glibc gpgme libgpg-error","","1","1760794779","C++ bindings for GPGME"
"python-click","8.3.1-3",1426515,"python","","1","1772802695","Simple wrapper around optparse for powerful command line utilities"
"slurp","1.5.0-1",51691,"cairo wayland libxkbcommon","","1","1760831983","Select a region in a Wayland compositor"
"iproute2","6.19.0-2",3143259,"glibc libxtables.so=12-64 libcap libcap.so=2-64 libelf libbpf libbpf.so=1-64","","1","1771903271","IP Routing Utilities"
"libebur128","1.2.6-2",47464,"glibc","","1","1760794933","A library that implements the EBU R 128 standard for loudness normalisation"
